id,symbol,name,close,open,value,volume
624b1fc9fc13ae359b00012c,PBI^B,Dabjam,767.35,243.81,242.08,224614622
624b1fc9fc13ae359b00012d,CTMX,Skaboo,238.1,341.54,167.12,550102821
624b1fc9fc13ae359b00012e,WETF,Muxo,430.57,322.36,195.11,523526983
624b1fc9fc13ae359b00012f,RNR,Wikivu,779.63,478.84,704.37,142543401
624b1fc9fc13ae359b000130,FCVT,Yoveo,555.7,886.38,228.48,687313402
624b1fc9fc13ae359b000131,DS^D,Jabberbean,407.18,292.3,356.93,704873992
624b1fc9fc13ae359b000132,FNV,Eire,23.12,595.89,547.37,735278819
624b1fc9fc13ae359b000133,WPG^H,Devshare,110.96,720.82,972.61,101691466
624b1fc9fc13ae359b000134,CINF,Twinder,224.36,856.31,875.03,7083085
624b1fc9fc13ae359b000135,FMB,Meedoo,898.89,260.15,409.47,435000948
624b1fc9fc13ae359b000136,DPLO,Skipstorm,494.44,950.86,626.9,849620632
624b1fc9fc13ae359b000137,BPFHP,Tanoodle,116.02,870.76,297.53,113222243
624b1fc9fc13ae359b000138,QQQX,Mynte,698.1,227.61,350.9,271841158
624b1fc9fc13ae359b000139,CBU,Kayveo,27.8,992.67,682.68,949590867
624b1fc9fc13ae359b00013a,PCH,Zoonder,919.36,207.63,131.64,59480213
624b1fc9fc13ae359b00013b,INN^C,Browsebug,961.2,863.05,248.17,668607295
624b1fc9fc13ae359b00013c,EPD,Tagopia,3.17,410.43,683.03,719032551
624b1fc9fc13ae359b00013d,ENIC,Rhycero,344.09,548.71,262.5,162480737
624b1fc9fc13ae359b00013e,TLLP,Quimba,941.16,294.02,536.67,371342464
624b1fc9fc13ae359b00013f,CNCE,Gigaclub,783.91,579.97,851.76,803400081
624b1fc9fc13ae359b000140,TLF,Eire,484.99,754.42,683.28,455733546
624b1fc9fc13ae359b000141,FLXN,Rhybox,131.74,694.2,816.64,573014707
624b1fc9fc13ae359b000142,AOSL,Kaymbo,64.78,614.9,331.35,587617581
624b1fc9fc13ae359b000143,UCFC,Ozu,918.81,19.81,488.95,338636225
624b1fc9fc13ae359b000144,DCUC,Dabshots,964.42,275.1,134.76,408959380
624b1fc9fc13ae359b000145,IVR^B,Dabfeed,217.48,267.24,813.57,285109414
624b1fc9fc13ae359b000146,AKO.A,Voonix,899.37,443.59,187.94,891227796
624b1fc9fc13ae359b000147,COTY,Realcube,650.92,581.48,544.36,855550089
624b1fc9fc13ae359b000148,TELL,Yata,305.73,59.12,469.19,602611843
624b1fc9fc13ae359b000149,CPAA,Oodoo,281.64,856.04,413,675281928
624b1fc9fc13ae359b00014a,HRC,Muxo,292.68,633.04,111.76,129882442
624b1fc9fc13ae359b00014b,PAVMW,Tanoodle,173.63,281.53,139.41,790904475
624b1fc9fc13ae359b00014c,MTRX,Wikibox,122.11,974.52,33.52,272348254
624b1fc9fc13ae359b00014d,GSBD,Rhyloo,119.13,507.89,858.04,307738713
624b1fc9fc13ae359b00014e,KFN^,Youfeed,217.87,585.67,797.71,693185739
624b1fc9fc13ae359b00014f,USB^A,Kare,548.09,201.1,598.85,772814833
624b1fc9fc13ae359b000150,CTU,Mybuzz,145.23,164.97,798.86,345268708
624b1fc9fc13ae359b000151,TWO,Kaymbo,914.3,536.43,553.85,970251374
624b1fc9fc13ae359b000152,KODK.WS.A,Vitz,218.07,227.96,164.36,895585575
624b1fc9fc13ae359b000153,CSBR,Skimia,725.6,497.7,205.27,472138208
624b1fc9fc13ae359b000154,SLD,Babbleblab,176.52,576.9,379.55,67710796
624b1fc9fc13ae359b000155,CTBB,Photobug,777.99,474.24,19.65,209594048
624b1fc9fc13ae359b000156,HTGM,Gigashots,153.06,55.16,580.58,664467975
624b1fc9fc13ae359b000157,GYB,Jamia,563.86,234.68,467.42,282740610
624b1fc9fc13ae359b000158,TREC,Topicshots,229.82,937.77,652.25,29520941
624b1fc9fc13ae359b000159,RGR,Mynte,880.76,508.26,794.47,777869886
624b1fc9fc13ae359b00015a,QINC,Tagchat,675.08,673.61,361,655060384
624b1fc9fc13ae359b00015b,PLUG,Feedmix,748.22,348.56,697.67,965008264
624b1fc9fc13ae359b00015c,WHLR,Katz,163.59,833.09,731.54,659200879
624b1fc9fc13ae359b00015d,FYX,Linklinks,3.92,371.94,69.82,771700824
624b1fc9fc13ae359b00015e,JTA,Jabbertype,733.12,494.24,102.84,261939159
624b1fc9fc13ae359b00015f,SILC,Kwimbee,944.9,617.2,861.35,813458562
624b1fc9fc13ae359b000160,PRE^G,Yombu,294.37,74.58,847.11,496992944
624b1fc9fc13ae359b000161,AC,Mudo,723.38,213.96,217.21,591826795
624b1fc9fc13ae359b000162,EEFT,Photospace,446.69,243.78,221.81,518913685
624b1fc9fc13ae359b000163,NTEST,Jaxbean,200.74,33.94,265.53,776571562
624b1fc9fc13ae359b000164,BCOV,Buzzdog,195.54,565.27,881.82,627523825
624b1fc9fc13ae359b000165,PME,Jabbersphere,401.44,697.91,578.87,602878498
624b1fc9fc13ae359b000166,SGBK,Edgeblab,944.8,544.87,110.47,135256569
624b1fc9fc13ae359b000167,BHBK,Zazio,538.76,346.81,163.1,391585040
624b1fc9fc13ae359b000168,EXEL,Blogtags,57.4,587.19,61.86,558883730
624b1fc9fc13ae359b000169,IGD,Thoughtbeat,181.04,684.2,342.21,581390852
624b1fc9fc13ae359b00016a,PHM,Realblab,515.14,282.65,223.83,235378768
624b1fc9fc13ae359b00016b,ELLI,Meembee,797.12,867.28,400.86,278151034
624b1fc9fc13ae359b00016c,ACRX,Babbleset,397.06,406.6,35.48,648901643
624b1fc9fc13ae359b00016d,BLBD,Tavu,765.25,33.16,227.84,331543429
624b1fc9fc13ae359b00016e,WHLRD,Skiptube,474.05,3.89,846.6,665531448
624b1fc9fc13ae359b00016f,ELTK,Zoomcast,538.79,242.05,309.46,363542200
624b1fc9fc13ae359b000170,TNP^D,Jabbersphere,778.35,847.27,487.76,118022648
624b1fc9fc13ae359b000171,MUH,Lazzy,899.31,680.11,69.84,894915139
624b1fc9fc13ae359b000172,CTW,Brainverse,786.18,820.64,9.34,917989205
624b1fc9fc13ae359b000173,ITI,Flashpoint,612.61,704.25,292.52,803964430
624b1fc9fc13ae359b000174,WSTC,Topiczoom,226.96,698.97,67.68,84218562
624b1fc9fc13ae359b000175,MPWR,Devshare,37.21,116.19,352.74,223368717
624b1fc9fc13ae359b000176,GNTX,Ooba,799.56,535,996.11,737377092
624b1fc9fc13ae359b000177,WPT,Zoozzy,835.27,202.55,696.77,700519479
624b1fc9fc13ae359b000178,ACGL,Yakidoo,754.84,529.54,940.69,169607918
624b1fc9fc13ae359b000179,HABT,Kwinu,261.1,199.17,192.67,329489598
624b1fc9fc13ae359b00017a,UBFO,Oloo,367.96,766.86,642.1,880512883
624b1fc9fc13ae359b00017b,FTSL,Browsezoom,520.68,899.77,268.2,386663470
624b1fc9fc13ae359b00017c,DAR,Divanoodle,815.75,550,518.94,685571946
624b1fc9fc13ae359b00017d,CIM^B,Gigazoom,334.14,436.76,239.48,299273568
624b1fc9fc13ae359b00017e,SOHOB,Kare,534.52,775.84,262.25,470464232
624b1fc9fc13ae359b00017f,MNR,Blogspan,555.4,921.57,608.36,405553329
624b1fc9fc13ae359b000180,TWI,Jaxbean,855.36,21.34,624.1,566244241
624b1fc9fc13ae359b000181,BLIN          ,Topicblab,938.4,112.18,565.34,667121505
624b1fc9fc13ae359b000182,LTC,Realcube,641.93,592.88,51.53,737373745
624b1fc9fc13ae359b000183,ZOES,Voolith,47.93,81.4,573.23,662157628
624b1fc9fc13ae359b000184,WHLRP,Realcube,541.26,517.02,875.02,985096359
624b1fc9fc13ae359b000185,EV,Kimia,916.17,351.61,397.22,159697668
624b1fc9fc13ae359b000186,CNSL,Twinte,347.86,885.03,412.59,885790777
624b1fc9fc13ae359b000187,SRUN,Topicstorm,924.28,13.87,904.23,967462226
624b1fc9fc13ae359b000188,FTW,Thoughtbeat,944.82,173.41,365.48,598107518
624b1fc9fc13ae359b000189,NEE^R,Riffpath,263.8,850.29,85.75,247684849
624b1fc9fc13ae359b00018a,ICLN,Shuffletag,842.12,834.22,256.59,726301918
624b1fc9fc13ae359b00018b,IDTI,Jamia,257.03,849.71,403.49,644678026
624b1fc9fc13ae359b00018c,NDRM,Realbridge,947.08,364.25,646.58,635200735
624b1fc9fc13ae359b00018d,LCII,Eayo,746.44,723.28,88.64,131392645
624b1fc9fc13ae359b00018e,FMB,Tavu,860.14,170.65,643.25,46349819
624b1fc9fc13ae359b00018f,FMY,Topdrive,855.33,755.49,962.23,858485040
624b1fc9fc13ae359b000190,IO,Oozz,896.75,607.11,882.31,900773125
624b1fc9fc13ae359b000191,AKAO,Edgewire,638.63,178.28,67.38,705179425
624b1fc9fc13ae359b000192,VHI,Kaymbo,391.11,902.09,407.99,266673676
624b1fc9fc13ae359b000193,NEWTL,Kwilith,971.82,950.35,826.35,376118954
624b1fc9fc13ae359b000194,SGLB,Mudo,987.86,157.36,305.16,932640846
